FishSpecies,en
あおます,Pink_salmon
あかいか,Flying_Squid
あさばがれい,Rock-Sole
あじ,Japanese_Horse_Mackerel
あなご,Conger-eel
あぶらがれい,Kamchatka_Flounder
あぶらこ,Greenling
あぶらざめ,Atrantic_Piny_Dogfish
あんこう,Goosefish
いか沖漬け,Marinated_Squids
いしがれい,Stone_Flounder
いしなぎ,Seabass
いなだ,Middle_Yellowtail
えぞかすぺ,Skate
いわし,Sardine
エチオピア,Pomfret
かがみだい,Mirror_Dory
かながしら,Searobin
かに,Crab
がや,White-Edged Rockfish
かわがれい,Starry_Flounder
かわはぎ,Leatherfish
ぎすかじか,Steller's Sculpin
くろがしら,Cresthead
けいじ,Baby_Salmon
ごっこオス,Smooth_Lumpsucker_M
ごっこメス,Smooth_Lumpsucker_F
ごまふぐ,Takihugu
さくらます,Cherry_Salmon
さけオス,Chum_Salmon_M
さけメス,Chum_Salmon_F
さば,Chub_Mackerel
さめがれい,Roughscale_Flounder
さわら,Spanish_Mackerel
さんま,Pcific_Saury
しいら,Dolphin-Fish
したびらめ,Tongue-Sole
しまほっけ,Atka_Mackerel
すけそう,Pollack
すずき,Japanese_Seabass
すながれい,Sand_Flounder
するめいか,Japanese_Common_Squid
そうはち,Pointhead_Flounder
その他いか,Squid_Other
その他いわし,Sardine_Other
その他かすぺ,Ray_Otehr
その他かれい,Flounder_Other
その他こなご,Sand Lance_Other
その他さけ,Salmon_Other
その他さめ,Shark_Other
その他ぶり,Yellowtail_Other
その他まぐろ,Tuna_Other
その他ます,Trout_Other
その他鮮魚,Fresh_Fish_Other
だっく,Marbled_Rockfish
たなご,Temminc's_Surf_Perch
とうべつかじか,Shbaggy_sea_raven
ときしらず,Summer-Catch Salmon
とらふぐ,Tigger_Puffer
どんこ,Brown_Hakeling
ながら,Black_Rockfish
なべかじか,Great_Sculpin
なめたがれい,Blackfin_Flounder
にしん,Pacific_Herring
はっかく,Sailfin_Poacher
ばばがれい,Slime_Flounder
はも,Daggertooth_Pike_Conger
びっき,Flog-Flounder
ひらまさ,AmberJack
ひらめ,Bastard_Halibut
ふぐ,Pufferfish
ふくらぎ,Small_Yelllowtail
ぶり,Yellowtail
べろかじか,Elkhorn_Sculpin
ほうぼう,Bluefin_Searobin
ほっかいあぶらこ,Rock_Greenling
ほっけ,Okhotsk_Atka_Mackerel
まかすぺ,Ray
まがれい,Brown_Sole
まこがれい,Marbled_Sole
ますのすけ,King_Salmon
まぞい,Fox_Jacopever
まだい,Red_sea-Bream
まだら,Pacific_Cod
まだらキズ,Pcific_Cod_Inj
まだら別,Pacific_Cod_Sep
まつかわがれい,Barfin_Flounder
まとうだい,Jhon_Dory
まふぐ,Globefish
まんぼう,Sun_Fish
みずいか,Spear_Squid
みずくさがれい,Round-Nose_Flounder
ミンク鯨,Minke_Whal
むらさきいか,Flying_Squid
めじまぐろ,Small_Bluefin_Tuna
めだい,Japanese_Butterfish
めぬき,Angry_Rockfish
めばる,Rockfish
もかざめ,Salmon_Shark
もんき,Yellow_Body_Rockfish
活あぶらこ,Active_Greenlling
活〆ぶり,Active_Deadline_Yellowtail
活だこ,Active_Octopus
活ひらめ,Active_Bastard_Halibut
銀さけ,Silber_Salmon
大女子,Pacific_Sand_Lance
生だこ,Living_Octopus
活ながら,Fresh_Black_Rockfish
水ダコ,North-Pacific_Giant_Octopus
本まぐろ,Bluefin_Tuna
網ほっけ,Net_Atka_Mackerel
柳だこ,Chestnut_Octopus